gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
RABGEF1	ENSG00000154710	Q9UJ41	4	1	4	0	0	0	4	5.411323372976066	5.437022692640027	0.021295078321634	0.9563844893246886	0.9990269081233384	13.648450448212595	13.72554337320883	0.0597013183103132	0.902498355178121	1.0	2467.5
MAGED2	ENSG00000102316	Q9UNF1	3	1	4	0	1	0	3	7.557956711180277	7.379155377957065	-0.1948739710516657	0.4526341513700601	0.9990269081233384	15.04630972983677	15.530879887854294	0.468944429476939	1.58976628416834e-09	4.37262901266885e-08	2051.0
LRRC41	ENSG00000132128	Q15345	2	2	4	0	1	0	3	6.948007533700762	7.135082591272169	0.1913393008197321	0.5144244201221004	0.9990269081233384	11.603892022222588	11.120267140915896	-0.519359717855532	0.0169226752056294	0.0720931411391701	2894.5
FERMT2	ENSG00000073712	Q96AC1	4	2	4	1	1	0	2	7.303275132784645	6.87076620972652	-0.4385645127370081	0.1211995580099723	0.763361732304745	15.461069038503641	15.225256606265008	-0.252652022934954	0.0252083552898252	0.0994641650920263	3266.5
DRAM1	ENSG00000136048	Q8N682	2	1	4	0	1	0	3	6.97154562467588	7.351369006378967	0.3700041348495915	0.1677919341900944	0.8445467278354268	0.0	0.0	0.0	1.0	1.0	2099.5
COL1A1	ENSG00000108821	P02452	1	1	4	1	1	0	2	7.935494778302986	6.575856458330126	-1.3766146764562774	0.0949411615504416	0.690829632026971	17.688394549215506	15.45540872937434	-2.29105733958436	2.33184520772881e-101	4.40407831566381e-98	5914.0
ADAM9	ENSG00000168615	Q13443	8	2	4	2	0	0	2	8.753469694570805	9.049687375975548	0.2996699043971877	0.2448607357451274	0.9305899494741828	13.988606422955298	14.160168417110523	0.199288847567771	0.138699587238659	0.365902463881575	4292.5
NPR3	ENSG00000113389	P17342	3	2	4	0	0	0	4	9.317691126260549	8.507578030534756	-0.8807254849523644	0.0075185538321925	0.1624605030480206	13.98856972419245	14.937908690050453	0.850158478093637	5.54556859634562e-16	3.27304079863482e-14	6380.0
C3	ENSG00000125730	P01024	1	1	4	1	1	0	2	5.680036381485543	6.542273817754251	0.8887648185630138	0.0224132824090521	0.3330246012995679	13.305042984579572	13.841958805968481	0.582514265465575	2.53635286968864e-27	4.10599295990167e-25	1992.0
ZMPSTE24	ENSG00000084073	O75844	3	1	4	1	0	0	3	6.402050212107536	6.54856376770168	0.1550258350092428	0.6346644803344437	0.9990269081233384	14.33261662987732	14.22788533254835	-0.117069335126981	0.110175088837209	0.310165658620336	3082.0
SRPRB	ENSG00000144867	Q9Y5M8	3	1	4	0	0	0	4	5.094273570534716	5.3823725867846814	0.2912417424974596	0.4700251767651277	0.9990269081233384	17.110282392784274	16.861848045508026	-0.244603268317857	2.77616490366629e-06	3.85533096670912e-05	2576.0
PARVA	ENSG00000197702	Q9NVD7	1	1	4	1	1	0	2	3.154235741077254	3.271151076470181	0.1411686723162879	0.8550162966463901	1.0	15.436291287523135	15.26840655298453	-0.195481757839624	0.024062390089466	0.096147744884989	8627.0
HNRNPH2	ENSG00000126945	P55795	1	1	4	2	0	1	1	6.20696032634772	6.396088071124763	0.1827514808576797	0.5570470913330765	0.9990269081233384	13.692291491741848	13.874347579823556	0.0146830575668195	0.998015235938043	1.0	2296.0
SH3RF1	ENSG00000154447	Q7Z6J0	1	1	4	1	1	0	2	6.5943957861362685	5.907393526319496	-0.7145624792675167	0.0278011342683966	0.3711570233097055	12.07264580591683	11.957869925458356	-0.0827073173559268	0.992188276292448	1.0	5120.0
SLC39A14	ENSG00000104635	Q15043	2	1	4	0	1	0	3	3.2980851896247696	3.8435469489598333	0.5623279578742495	0.3982215228735454	1.0	14.204479833966271	14.974172549843441	0.722292390207825	3.1554641953732e-09	8.12675460499299e-08	4663.0
EIF2S1	ENSG00000134001	P05198	3	1	3	0	2	0	1	6.698044550410438	6.904631041231839	0.2134285623024992	0.4907652397680869	0.9990269081233384	16.703003463914285	16.805829678257933	0.124351780818328	0.266287712524482	0.583669701804144	999.0
IGFBP5	ENSG00000115461	P24593	1	1	3	1	0	1	1	7.722374373558563	9.266227460623291	1.538787334666057	2.808976634886697e-06	0.0003061131281646	17.30391166527437	18.742729584639033	1.43449018714738	8.6792623337403e-07	1.35473003809842e-05	6239.0
