contig	polya_length	coverage	run	condition
ENST00000221459.7	22	5	s3_r2	s3
ENST00000221462.9	114	4	s3_r2	s3
ENST00000221466.10	165	59	s3_r2	s3
ENST00000221480.6	50	3	s3_r2	s3
ENST00000221486.6	155	3	s3_r2	s3
ENST00000221494.10	46	9	s3_r2	s3
ENST00000221543.10	33	6	s3_r2	s3
ENST00000221554.13	129	1	s3_r2	s3
ENST00000221561.12	79	42	s3_r2	s3
ENST00000221566.7	123	31	s3_r2	s3
ENST00000221573.11	77	27	s3_r2	s3
ENST00000221665.5	14	4	s3_r2	s3
ENST00000221735.12	241	1	s3_r2	s3
ENST00000221770.7	136	1	s3_r2	s3
ENST00000221784.8	50	8	s3_r2	s3
ENST00000221801.8	66	4	s3_r2	s3
ENST00000221855.8	79	76	s3_r2	s3
ENST00000221856.11	124	2	s3_r2	s3
ENST00000221859.9	81	18	s3_r2	s3
ENST00000221891.9	163	12	s3_r2	s3
ENST00000221930.6	78	11	s3_r2	s3
ENST00000221943.14	63	9	s3_r2	s3
ENST00000221957.9	53	102	s3_r2	s3
ENST00000221975.6	50	21	s3_r2	s3
ENST00000221980.5	201	5	s3_r2	s3
ENST00000222005.7	41	74	s3_r2	s3
ENST00000222008.11	64	338	s3_r2	s3
ENST00000222115.5	7	2	s3_r2	s3
ENST00000222122.10	41	1	s3_r2	s3
ENST00000222145.9	29	5	s3_r2	s3
ENST00000222190.9	76	1	s3_r2	s3
ENST00000222214.10	101	8	s3_r2	s3
ENST00000222219.8	117	54	s3_r2	s3
ENST00000222247.10	58	1622	s3_r2	s3
ENST00000222250.5	53	3	s3_r2	s3
ENST00000222254.13	60	20	s3_r2	s3
ENST00000222256.9	90	1	s3_r2	s3
ENST00000222266.2	56	1	s3_r2	s3
ENST00000222271.7	174	33	s3_r2	s3
ENST00000222284.10	50	95	s3_r2	s3
ENST00000222305.8	80	23	s3_r2	s3
ENST00000222307.9	54	42	s3_r2	s3
ENST00000222308.8	38	13	s3_r2	s3
ENST00000222329.9	45	33	s3_r2	s3
ENST00000222330.8	31	16	s3_r2	s3
ENST00000222345.11	105	5	s3_r2	s3
ENST00000222390.11	14	2	s3_r2	s3
ENST00000222399.11	145	14	s3_r2	s3
ENST00000222402.8	70	3	s3_r2	s3
ENST00000222482.10	161	7	s3_r2	s3
ENST00000222511.11	29	3	s3_r2	s3
ENST00000222543.11	131	587	s3_r2	s3
ENST00000222547.8	54	15	s3_r2	s3
ENST00000222553.8	98	79	s3_r2	s3
ENST00000222567.6	77	5	s3_r2	s3
ENST00000222572.8	167	9	s3_r2	s3
ENST00000222573.5	37	9	s3_r2	s3
ENST00000222574.9	47	9	s3_r2	s3
ENST00000222644.10	56	1	s3_r2	s3
ENST00000222673.6	68	23	s3_r2	s3
ENST00000222690.10	52	13	s3_r2	s3
ENST00000222693.5	88	46	s3_r2	s3
ENST00000222725.10	143	1	s3_r2	s3
ENST00000222803.10	88	24	s3_r2	s3
ENST00000222812.8	178	2	s3_r2	s3
ENST00000222969.10	56	21	s3_r2	s3
ENST00000222990.8	40	12	s3_r2	s3
ENST00000223023.5	78	14	s3_r2	s3
ENST00000223029.8	145	21	s3_r2	s3
ENST00000223051.8	74	1	s3_r2	s3
ENST00000223061.6	159	119	s3_r2	s3
ENST00000223073.6	162	4	s3_r2	s3
ENST00000223095.5	121	3760	s3_r2	s3
ENST00000223122.4	161	1	s3_r2	s3
ENST00000223127.8	122	72	s3_r2	s3
ENST00000223129.8	110	16	s3_r2	s3
ENST00000223136.5	86	123	s3_r2	s3
ENST00000223208.10	36	2	s3_r2	s3
ENST00000223210.5	165	1	s3_r2	s3
ENST00000223215.10	141	15	s3_r2	s3
ENST00000223271.8	122	32	s3_r2	s3
ENST00000223273.7	109	9	s3_r2	s3
ENST00000223321.9	102	161	s3_r2	s3
ENST00000223324.3	124	47	s3_r2	s3
ENST00000223336.11	55	12	s3_r2	s3
ENST00000223357.8	126	14	s3_r2	s3
ENST00000223361.7	84	3	s3_r2	s3
ENST00000223368.7	33	27	s3_r2	s3
ENST00000223369.3	43	83	s3_r2	s3
ENST00000223398.11	95	5	s3_r2	s3
ENST00000223423.8	27	3	s3_r2	s3
ENST00000223428.9	146	1	s3_r2	s3
ENST00000223459.11	38	5	s3_r2	s3
ENST00000223500.9	53	85	s3_r2	s3
ENST00000223528.6	132	3	s3_r2	s3
ENST00000223641.5	55	196	s3_r2	s3
ENST00000223642.3	70	1	s3_r2	s3
ENST00000223864.7	68	20	s3_r2	s3
ENST00000224073.6	45	177	s3_r2	s3
ENST00000224140.6	32	2	s3_r2	s3
ENST00000224237.9	45	1000	s3_r2	s3
ENST00000224784.10	111	80	s3_r2	s3
ENST00000224949.9	63	3	s3_r2	s3
ENST00000224950.8	123	7	s3_r2	s3
ENST00000225174.8	58	41	s3_r2	s3
ENST00000225235.5	61	3	s3_r2	s3
ENST00000225298.12	125	27	s3_r2	s3
ENST00000225308.12	49	38	s3_r2	s3
ENST00000225388.9	72	40	s3_r2	s3
ENST00000225394.8	55	9	s3_r2	s3
ENST00000225430.9	52	1161	s3_r2	s3
ENST00000225474.6	33	2	s3_r2	s3
ENST00000225504.8	97	47	s3_r2	s3
ENST00000225519.5	53	1	s3_r2	s3
ENST00000225525.4	54	157	s3_r2	s3
ENST00000225538.4	39	1	s3_r2	s3
ENST00000225576.7	135	1	s3_r2	s3
ENST00000225577.9	51	7	s3_r2	s3
ENST00000225603.9	66	14	s3_r2	s3
