contig	polya_length	coverage	run	condition
ENST00000222330.8	21	15	s2_r2	s2
ENST00000222345.11	128	6	s2_r2	s2
ENST00000222374.3	166	1	s2_r2	s2
ENST00000222399.11	121	7	s2_r2	s2
ENST00000222402.8	74	4	s2_r2	s2
ENST00000222462.3	133	1	s2_r2	s2
ENST00000222482.10	131	1	s2_r2	s2
ENST00000222511.11	60	1	s2_r2	s2
ENST00000222543.11	153	696	s2_r2	s2
ENST00000222547.8	33	17	s2_r2	s2
ENST00000222553.8	115	33	s2_r2	s2
ENST00000222567.6	106	6	s2_r2	s2
ENST00000222572.8	111	12	s2_r2	s2
ENST00000222573.5	169	5	s2_r2	s2
ENST00000222644.10	27	1	s2_r2	s2
ENST00000222673.6	43	17	s2_r2	s2
ENST00000222690.10	47	7	s2_r2	s2
ENST00000222693.5	92	33	s2_r2	s2
ENST00000222718.7	297	1	s2_r2	s2
ENST00000222800.8	68	1	s2_r2	s2
ENST00000222803.10	122	22	s2_r2	s2
ENST00000222812.8	119	2	s2_r2	s2
ENST00000222823.9	157	1	s2_r2	s2
ENST00000222969.10	40	10	s2_r2	s2
ENST00000222990.8	156	7	s2_r2	s2
ENST00000223023.5	168	8	s2_r2	s2
ENST00000223029.8	48	12	s2_r2	s2
ENST00000223061.6	164	54	s2_r2	s2
ENST00000223073.6	69	2	s2_r2	s2
ENST00000223095.5	122	3097	s2_r2	s2
ENST00000223122.4	178	1	s2_r2	s2
ENST00000223127.8	152	57	s2_r2	s2
ENST00000223129.8	98	5	s2_r2	s2
ENST00000223136.5	74	36	s2_r2	s2
ENST00000223145.10	177	1	s2_r2	s2
ENST00000223208.10	24	1	s2_r2	s2
ENST00000223210.5	134	2	s2_r2	s2
ENST00000223215.10	114	3	s2_r2	s2
ENST00000223271.8	142	21	s2_r2	s2
ENST00000223273.7	17	8	s2_r2	s2
ENST00000223321.9	91	70	s2_r2	s2
ENST00000223324.3	116	28	s2_r2	s2
ENST00000223336.11	59	8	s2_r2	s2
ENST00000223357.8	146	7	s2_r2	s2
ENST00000223368.7	35	18	s2_r2	s2
ENST00000223369.3	60	80	s2_r2	s2
ENST00000223398.11	48	5	s2_r2	s2
ENST00000223423.8	62	3	s2_r2	s2
