transcript	log_count	FC	mrna_ont_C3	mrna_ont_C4	HGNC symbol
ENST00000329251	9.587776265501079	0.04241499404245985	9.566568768479849	9.608983762522309	EEF1G
ENST00000415719	9.597169650621819	0.013507977241944857	9.590415662000845	9.60392363924279	RPL15
ENST00000357037	9.036443199242543	-0.006425473250818214	9.039655935867952	9.033230462617134	CAVIN1
ENST00000652974	9.685686916836104	-0.06956697981957838	9.720470406745894	9.650903426926316	CALM2
ENST00000451462	8.651062574031112	0.9933659637573182	8.154379592152452	9.14774555590977	ADAMTS1
ENST00000679152	8.651062574031112	0.9933659637573182	8.154379592152452	9.14774555590977	ADAMTS1
ENST00000394975	9.413392778089193	0.37119788561610356	9.22779383528114	9.598991720897244	VKORC1
ENST00000231004	9.053947482719405	0.2551753201204292	8.92635982265919	9.18153514277962	LOX
ENST00000295927	9.174344126686627	1.5618735800848018	8.393407336644225	9.955280916729027	PTX3
ENST00000272274	9.552477502978967	0.10787138970024657	9.498541808128843	9.60641319782909	RPL21
ENST00000295955	9.889474185235791	-0.23035485043664927	10.004651610454115	9.774296760017466	RPL9
ENST00000356769	9.62990659668256	-0.06536457655914774	9.662588884962133	9.597224308402986	NACA
ENST00000540698	9.283002525634181	-0.5363153177306863	9.551160184499524	9.014844866768838	DDX5
ENST00000296027	8.568400691483532	1.7819913959663234	7.67740499350037	9.459396389466693	CXCL5
ENST00000392369	9.305586360613805	0.4813055893065492	9.064933565960532	9.546239155267081	RAN
ENST00000548547	9.561553497556037	0.03818698427784639	9.542460005417114	9.58064698969496	IGFBP6
ENST00000370355	8.728023211863313	0.5699195877052006	8.443063418010713	9.012983005715913	SCD
ENST00000300527	8.344308002483757	-0.22540325451777754	8.457009629742645	8.231606375224867	COL6A2
ENST00000278968	9.56311293799061	-1.0183772353501404	10.07230155566568	9.05392432031554	TAGLN
ENST00000319248	9.40337823919862	0.12759597285655566	9.339580252770343	9.467176225626899	PRDX1
ENST00000404824	8.958041544815808	0.33123740701570625	8.792422841307955	9.123660248323661	PDIA6
ENST00000216117	8.785410750421477	0.5036868997468122	8.533567300548071	9.037254200294884	HMOX1
ENST00000262584	9.395416361191753	0.2063779636051848	9.29222737938916	9.498605342994345	RPL8
ENST00000679480	9.407218448945853	-0.041991980911582516	9.428214439401644	9.386222458490062	ACTG1
ENST00000361564	9.478152142205879	-0.19766036680335652	9.576982325607558	9.379321958804201	OSTC
ENST00000175091	9.540872061742412	-0.33092642936330385	9.706335276424065	9.375408847060761	LAPTM4A
ENST00000328916	9.320288100610206	-0.5777169173798082	9.609146559300111	9.031429641920303	C1S
ENST00000615544	9.345188454061212	-0.06047453982684736	9.375425723974635	9.314951184147787	ACTG1
ENST00000573283	9.371045201898927	-0.05245700022661559	9.397273702012235	9.34481670178562	ACTG1
ENST00000394938	9.611404173534469	0.2428898042558032	9.489959271406567	9.73284907566237	RPL23A
ENST00000237530	9.263350667601106	-0.1438898672180482	9.335295601210131	9.191405733992083	RPN2
ENST00000572105	9.3079303479173	-0.06560575918501144	9.340733227509805	9.275127468324794	ACTG1
ENST00000251047	8.686221552497177	0.4192366765052231	8.476603214244564	8.895839890749787	LMAN1
ENST00000396466	9.514716306772987	0.028048811822060316	9.500691900861957	9.528740712684018	RPL7
ENST00000296930	9.382512683372369	0.13382400636945668	9.31560068018764	9.449424686557096	NPM1
ENST00000295702	9.331280338320848	-0.2873914969122513	9.474976086776973	9.187584589864722	SSR2
ENST00000543425	9.192220032265308	-0.21675437684483434	9.300597220687724	9.08384284384289	TMED2
ENST00000642480	8.952124722618183	0.06693063875166061	8.918659403242353	8.985590041994014	ACTB
ENST00000635671	9.503189171703955	-0.5048870940199155	9.755632718713914	9.250745624693998	EFEMP1
ENST00000397420	9.12809339474197	-0.13754075888385664	9.1968637741839	9.059323015300043	CD151
ENST00000602676	9.38275596432505	0.19927646149464096	9.283117733577729	9.48239419507237	OAZ1
ENST00000282903	8.8323956953322	0.6198216165165746	8.522484887073913	9.142306503590488	PLOD2
ENST00000227507	8.595804191618388	0.3183842300733897	8.436612076581692	8.754996306655082	CCND1
ENST00000403425	9.202490894881013	0.37483298132362286	9.0150744042192	9.389907385542823	SERF2
ENST00000301464	9.389134575847342	0.028371000559467063	9.374949075567608	9.403320076127075	IGFBP6
ENST00000379440	8.71412923898835	0.7365353869170477	8.345861545529827	9.082396932446875	PRNP
ENST00000332680	9.485721458300725	-0.01875514922763344	9.495099032914542	9.476343883686908	ANXA2
ENST00000643777	8.627960671315318	0.602948297159843	8.326486522735395	8.929434819895238	ALDOA
ENST00000326840	8.3469023262289	1.1486743348002237	7.772565158828788	8.921239493629011	DCBLD2
ENST00000565420	9.652972005259151	-0.10549451926156372	9.705719264889932	9.600224745628369	RPS15A
ENST00000222008	9.294988811485803	-0.21955964555822405	9.404768634264915	9.185208988706691	RABAC1
ENST00000053867	9.309640336335207	-0.44623999427679273	9.532760333473604	9.086520339196811	GRN
ENST00000326092	9.465977116232674	0.004448030316101637	9.463753101074623	9.468201131390725	RPL21
ENST00000301071	9.378536963451307	0.35897685170877125	9.199048537596921	9.558025389305692	TUBA1A
ENST00000368706	9.17524366981559	0.36387095442832695	8.993308192601427	9.357179147029754	S100A16
ENST00000319826	9.51432563257834	0.05504373510881422	9.486803765023932	9.541847500132747	RPL21
ENST00000394935	9.369949235114927	0.14439007911130552	9.297754195559273	9.442144274670579	RPL23A
ENST00000282561	8.499427701082197	0.40110661747936227	8.298874392342515	8.699981009821878	GJA1
ENST00000579649	9.192929026719414	0.32362886488693476	9.031114594275946	9.354743459162881	RPL36
ENST00000322008	8.984711736569038	-0.1966217914183055	9.08302263227819	8.886400840859885	CD151
ENST00000265093	9.157883867815592	0.042170299369951536	9.136798718130615	9.178969017500567	ATP6V0E1
ENST00000472628	9.317930450374245	0.1645506021962575	9.235655149276116	9.400205751472374	RPL23A
ENST00000496182	9.320723017079109	0.17013573560598516	9.235655149276116	9.405790884882101	RPL23A
ENST00000425660	9.118349443832066	0.003148187752756826	9.116775349955688	9.119923537708445	ACTB
ENST00000460355	8.866068301614082	0.17680764742059019	8.777664477903786	8.954472125324376	NBEAL1
ENST00000269141	8.612730558906765	-0.2432386096827326	8.73434986374813	8.491111254065398	CDH2
ENST00000577269	9.218976479010095	0.14968100810869345	9.144135974955748	9.293816983064442	EIF4A1
ENST00000328252	8.664136752350753	-0.45301864270589753	8.890646073703701	8.437627430997804	PAPPA
ENST00000361866	7.9690810977609825	-0.12705277216567534	8.03260748384382	7.905554711678145	COL6A1
